line,paper_link_attempted,paper_link_matched,paper_link_unmatched,paper_link_duplicate_error,paper_link_skipped_source_missing,paper_link_validity_missing
EXTENDED,3,3,0,0,0,3
TRIGGER_RETEST,0,0,0,0,0,0
ALL,3,3,0,0,0,3
