n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
647,1598,0.36343469460433875,0.10124605578118384,616498.5,8.312089390754312e-13,PASS,0.2621886388231549,0.16451370509245533,0.36448924624526874,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
951,1598,-0.07713044192500038,0.10124605578118384,660303.5,3.0353872550798765e-08,PASS,-0.17837649770618422,-0.2634930227741557,-0.09256857796414945,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
542,1584,0.4195416827894414,0.06538146423099436,541687.0,7.980072441549058e-20,PASS,0.35416021855844704,0.26436651237745995,0.44538797052812046,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
