n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
624,1538,0.36988441762269286,0.10221485883053398,572797.5,1.5898402891831853e-12,PASS,0.26766955879215887,0.16606756949567064,0.37324600376520006,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
914,1538,-0.08052672178905806,0.10221485883053398,609924.5,4.187775727375157e-08,PASS,-0.18274158061959206,-0.2811774566589817,-0.08288981246876574,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
525,1528,0.43729296859269146,0.06980611306525446,507333.5,1.236346720709417e-19,PASS,0.367486855527437,0.27220010113144555,0.46403331391404906,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
