scope,n,n_with_outcome,mean_realized_R_10d,median_realized_R_10d,std_realized_R_10d,win_rate,profit_factor
trigger,281,281,0.33205929707504284,0.2031694433157244,0.9977502642129576,0.608540925266904,2.6868619254843926
retest_bounce,180,180,0.15406397181766623,0.1109621966441824,0.772672119309801,0.55,1.7761979452419654
all,461,461,0.2625600377554598,0.1706418460345164,0.9205737036160548,0.5856832971800434,2.329493659844244
