n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
625,1537,0.3647237150357415,0.09743144501320707,573641.0,1.3173992950017703e-12,PASS,0.2672922700225345,0.1645905627436721,0.3738948683147795,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
912,1537,-0.08574582336846402,0.09743144501320707,607543.5,3.452771131322171e-08,PASS,-0.1831772683816711,-0.275021696494191,-0.08799906548386378,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
525,1527,0.43302492844916574,0.0645578061759835,507854.5,6.365942959233508e-20,PASS,0.36846712227318223,0.27378730672464147,0.4719981616637929,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
