scope,n,n_with_outcome,mean_realized_R_10d,median_realized_R_10d,std_realized_R_10d,win_rate,profit_factor
trigger,281,281,0.32194890040696816,0.2031694433157244,1.0031790267249976,0.608540925266904,2.5854549486628473
retest_bounce,186,186,0.06344608662744033,0.06358957751941219,1.04655957668018,0.5268817204301075,1.2304795213524236
all,467,467,0.21899060626779854,0.1578135647932288,1.0284930480136718,0.576017130620985,1.9446327991265724
