n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
660,1646,0.2962566474088501,0.06517898993667999,644624.5,2.2265832821427642e-12,PASS,0.23107765747217013,0.11538145394233144,0.34644084587657853,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
986,1646,-0.0894977381887077,0.06517898993667999,710033.5,7.626877323264406e-08,PASS,-0.15467672812538769,-0.24190182560576645,-0.06647594335835579,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
548,1630,0.36055459362407605,0.0269445065399578,562073.0,1.2428166257894751e-19,PASS,0.33361008708411827,0.22813418653437953,0.43351332975799,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
