n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
627,1541,0.3660512496616115,0.09593710601839447,576952.0,1.2339879294408775e-12,PASS,0.27011414364321706,0.16762714896977818,0.38058092981865776,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
914,1541,-0.08936001440206186,0.09593710601839447,610388.5,3.24864490751689e-08,PASS,-0.18529712042045632,-0.28149767340000054,-0.09251293479748353,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
527,1528,0.4326411832235139,0.0646477756587762,509202.5,1.1550660124096472e-19,PASS,0.3679934075647377,0.2794180940430051,0.4633682247886792,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
