scope,n,n_with_outcome,mean_realized_R_10d,median_realized_R_10d,std_realized_R_10d,win_rate,profit_factor
trigger,267,267,0.3366282930570254,0.2099340053613915,0.9849607025855244,0.6142322097378277,2.803427338085328
retest_bounce,183,181,0.17674926911755684,0.1137294149758893,0.7969697817471498,0.5580110497237569,1.933111664157368
all,450,448,0.27203431240290976,0.17364800802717076,0.9170396915705051,0.5915178571428571,2.4487252680649974
