n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
655,1627,0.3543715742114594,0.09224039392362542,635820.5,4.755096780712012e-13,PASS,0.26213118028783394,0.1613117305450914,0.3701327490929812,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
972,1627,-0.08440150225799116,0.09224039392362542,687744.0,2.649735070010712e-08,PASS,-0.17664189618161658,-0.2642803104936762,-0.09104716426051834,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
547,1610,0.4074434168334049,0.05473136573055947,556403.5,2.8897799495471525e-20,PASS,0.3527120511028454,0.26945919964188136,0.4448967674126628,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
