n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
661,1644,0.2953793639012507,0.06037639120778896,644803.0,2.200963672829534e-12,PASS,0.23500297269346174,0.12093711821613781,0.35594850809265177,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
983,1644,-0.09764697089839432,0.06037639120778896,706565.0,6.920990874981836e-08,PASS,-0.15802336210618328,-0.2496199597830392,-0.06759987215099182,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
549,1628,0.3593812195899441,0.02176917670391344,562295.5,1.2896510008312737e-19,PASS,0.3376120428860307,0.23624580017860428,0.43897110238606935,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
