n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
630,1550,0.3664360978299974,0.10939219227925374,581518.5,2.541614692406241e-12,PASS,0.2570439055507437,0.14380936657997703,0.3673939543227948,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
920,1550,-0.06662700391310329,0.10939219227925374,619731.5,5.243160429291937e-08,PASS,-0.17601919619235704,-0.27410190287147584,-0.07704148570106778,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
529,1536,0.432617102457274,0.0777278140987465,512441.5,2.7989539901790284e-19,PASS,0.3548892883585275,0.26197584003448116,0.45180978918602765,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
