n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
616,1518,0.364355460652,0.10509929011123406,556124.0,6.53361611397828e-12,PASS,0.2592561705407659,0.15915135298162417,0.36809009157416656,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
902,1518,-0.07195370440441093,0.10509929011123406,596038.0,9.847742358085474e-08,PASS,-0.177052994515645,-0.26784510795757194,-0.08500529885594388,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
520,1505,0.4256137177013485,0.0723812108064069,492868.5,9.916599750307866e-19,PASS,0.35323250689494157,0.26193905754491215,0.4472092637348636,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
