n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
629,1556,0.36756177293311654,0.10656747374528013,583421.5,1.864391580946647e-12,PASS,0.2609942991878364,0.15558428717438172,0.3726847440247574,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
927,1556,-0.07052574544474051,0.10656747374528013,627146.5,5.227179000481513e-08,PASS,-0.17709321919002063,-0.2744249224333048,-0.0818368525632418,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
531,1541,0.4309691314611608,0.07492135075841568,516331.5,1.9489308724752895e-19,PASS,0.3560477807027451,0.262011108990936,0.4506297493569058,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
