n_a,n_b,mean_a,mean_b,u_stat,p_value,p_status,delta,ci_lo,ci_hi,ci_excludes_zero,magnitude_pass,g_status,hypothesis_aligned,sign_status,verdict,gate_label
654,1627,0.35290970803543104,0.09193346673950406,634336.0,6.38197968164658e-13,PASS,0.260976241295927,0.16351840151824545,0.3657115742205133,True,True,PASS,True,PASS,PASS,G1_EVENT_NEAR_vs_BASELINE_pct
973,1627,-0.08348119082219817,0.09193346673950406,689228.5,3.3329576006863923e-08,PASS,-0.17541465756170221,-0.2591046919460291,-0.08691884946185648,True,True,PASS,True,PASS,PASS,G2_NON_EVENT_NEAR_vs_BASELINE_pct_label_sanity
545,1610,0.40651772181333795,0.05438453915155992,554054.5,4.1035663823152566e-20,PASS,0.352133182661778,0.26307342951078705,0.4459056491101924,True,True,PASS,True,PASS,PASS,G6_EVENT_NEAR_vs_BASELINE_atr_audit
