ticker
THYAO
TUPRS
ASELS
YKBNK
AKBNK
TERA
ISCTR
TRALT
SAHOL
PGSUS
ASTOR
KCHOL
EREGL
TCELL
SISE
GARAN
BIMAS
KTLEV
TTKOM
TEHOL
TOASO
PEKGY
EKGYO
PETKM
TAVHL
HALKB
TKFEN
VAKBN
RALYH
YEOTK
AAGYO
ATATR
MCARD
TRHOL
MGROS
KRDMD
DSTKF
NETCD
FROTO
POLTK
ULKER
PASEU
UFUK
GLRMK
LXGYO
TARKM
TRMET
SDTTR
CVKMD
DOFRB
TCKRC
KLRHO
GUBRF
CWENE
KONTR
BRSAN
ENKAI
AEFES
IEYHO
SVGYO
KUYAS
MANAS
UCAYM
MEYSU
ULUSE
PAHOL
MIATK
EMPAE
CANTE
MEGMT
RGYAS
SASA
SARKY
GENKM
TABGD
EFOR
ALVES
ZGYO
ALARK
ISKPL
ZERGY
TMPOL
MARMR
BTCIM
TURSG
HEDEF
VSNMD
HEKTS
BINHO
GUNDG
ALTNY
PSGYO
QUAGR
ECILC
BESTE
SKBNK
PRZMA
AKSEN
SURGY
AKHAN
