ticker,signal_date,close_t,bos_level,stop_ref,atr_14,volume_t,avg_volume_20,dollar_volume_t,setup_score,signal_type,quartet_rank,lh_bar_date,hl_bar_date,hh_bar_date,zone_high,zone_low,initial_risk_pct
AMD,2026-05-22,467.24,458.82,404.82935714285713,31.00214285714286,3261338.0,3659509.45,1523827567.1200001,0.2715941294380578,mb_1d_above_mb_fresh_bos,5,2026-05-11,2026-05-19,2026-05-22,455.08,418.32,0.1335729878801962
CDNS,2026-05-22,373.66,364.14,334.9629642857143,10.756785714285712,154400.0,161657.45,57693104.00000001,0.8850227431189652,mb_1d_above_mb_fresh_bos,2,2026-05-11,2026-05-19,2026-05-22,364.14,359.03,0.10356215734701528
CSCO,2026-05-22,120.39,118.94,113.04421428571429,4.319285714285712,1566389.0,1707954.5,188577571.71,0.3357036547048131,mb_1d_above_mb_fresh_bos,4,2026-05-18,2026-05-20,2026-05-22,118.23,114.65,0.06101657707688106
DELL,2026-05-22,295.2,260.28,233.66867857142856,17.671071428571427,1559293.0,531995.95,460303293.59999996,1.9761110774267883,mb_1d_above_mb_fresh_bos,5,2026-05-08,2026-05-12,2026-05-22,260.28,233.14,0.20843943573364307
DRI,2026-05-22,203.42,199.11,191.07339285714286,5.455357142857139,91474.0,57379.25,18607641.08,0.7900490998363296,mb_1d_above_mb_fresh_bos,2,2026-05-12,2026-05-13,2026-05-22,199.11,197.49,0.06069514867199452
ED,2026-05-22,108.54,108.18,105.68921428571429,2.0692857142857153,82473.0,108739.45,8951619.42,0.1739730755954432,mb_1d_above_mb_fresh_bos,0,2026-05-19,2026-05-20,2026-05-22,108.18,107.6,0.02626483982205381
EL,2026-05-22,88.32,86.66,75.00092857142857,3.7635714285714275,632686.0,250171.3,55878827.519999996,0.44107041184285367,mb_1d_above_mb_fresh_bos,3,2026-05-06,2026-05-19,2026-05-22,86.66,83.8,0.15080470367494814
EW,2026-05-22,85.81,84.16,80.47735714285713,2.442142857142857,310394.0,256918.09999999998,26634909.14,0.6756361509213243,mb_1d_above_mb_fresh_bos,0,2026-04-24,2026-04-29,2026-05-22,84.16,82.24,0.062144771671633514
F,2026-05-22,14.945,14.47,12.812285714285714,0.7257142857142854,9325611.0,5635203.75,139371256.395,0.6545275590551178,mb_1d_above_mb_fresh_bos,3,2026-05-14,2026-05-18,2026-05-22,14.47,13.75,0.14270420111838647
GPN,2026-05-22,73.27,72.83,66.95978571428572,2.7007142857142847,98731.0,169916.8,7234020.369999999,0.16291986247024517,mb_1d_above_mb_fresh_bos,1,2026-04-20,2026-04-24,2026-05-22,72.83,71.63,0.08612275536664776
