ticker,signal_date,close_t,bos_level,stop_ref,atr_14,volume_t,avg_volume_20,dollar_volume_t,setup_score,signal_type,quartet_rank,lh_bar_date,hl_bar_date,hh_bar_date,zone_high,zone_low,initial_risk_pct
HPE,2026-05-22,37.575,34.125,32.145857142857146,1.5971428571428568,2182866.0,1139401.6,82021189.95,2.1601073345259416,mb_1d_above_mb_fresh_bos,8,2026-05-14,2026-05-19,2026-05-22,34.125,33.805,0.14448816652409466
IT,2026-05-22,159.95,158.96,146.24817857142858,7.706071428571428,58308.0,115601.35,9326364.6,0.12847013023126228,mb_1d_above_mb_fresh_bos,0,2026-04-21,2026-04-23,2026-05-22,158.96,156.83,0.08566315366409133
LH,2026-05-22,259.91,258.04,252.43053571428572,5.198214285714288,45770.0,50546.1,11896080.700000001,0.35973892133287605,mb_1d_above_mb_fresh_bos,0,2026-05-07,2026-05-08,2026-05-22,258.04,257.75,0.02877713164447039
LMT,2026-05-22,533.25,528.29,519.3105,10.864999999999997,74539.0,89020.75,39747921.75,0.45651173492867353,mb_1d_above_mb_fresh_bos,1,2026-05-18,2026-05-20,2026-05-22,528.29,518.53,0.026140646976089924
MAA,2026-05-22,131.09,130.39,127.9467142857143,2.2442857142857173,31237.0,51378.95,4094858.33,0.31190324633991806,mb_1d_above_mb_fresh_bos,3,2026-04-28,2026-05-01,2026-05-22,130.39,125.99,0.023978073951374707
NDSN,2026-05-22,290.0,288.31,278.89489285714285,5.650357142857144,46372.0,23335.05,13447880.0,0.2990961380443709,mb_1d_above_mb_fresh_bos,1,2026-04-30,2026-05-04,2026-05-22,288.31,280.865,0.03829347290640397
PLD,2026-05-22,145.88,145.08,140.72878571428572,2.270714285714285,81350.0,129210.64999999998,11867338.0,0.3523120478137705,mb_1d_above_mb_fresh_bos,4,2026-04-17,2026-04-22,2026-05-22,145.08,143.08,0.035311312624857934
QCOM,2026-05-22,238.225,237.56,193.98567857142856,19.88107142857143,2656827.0,2688971.45,632922612.0749999,0.03344890150358341,mb_1d_above_mb_fresh_bos,2,2026-05-11,2026-05-14,2026-05-22,237.56,231.99,0.1857039413519632
RVTY,2026-05-22,96.95,95.91,93.62492857142857,4.08357142857143,58305.0,88935.6,5652669.75,0.25467902746195703,mb_1d_above_mb_fresh_bos,0,2026-05-19,2026-05-20,2026-05-22,95.91,94.72,0.03429676563766306
SMCI,2026-05-22,35.57,35.38,29.801571428571428,2.5614285714285723,4652326.0,3668877.25,165483235.82,0.07417735638594443,mb_1d_above_mb_fresh_bos,4,2026-05-08,2026-05-19,2026-05-22,35.38,33.39,0.16217117153299332
SNPS,2026-05-22,524.86,516.32,489.45110714285715,14.729642857142867,101169.0,100190.25,53099561.34,0.5797832359430662,mb_1d_above_mb_fresh_bos,2,2026-05-08,2026-05-19,2026-05-22,516.32,504.51,0.06746350047087386
TTD,2026-05-22,22.385,22.26,20.623321428571426,1.3389285714285717,1123948.0,1530156.7,25159575.98,0.0933582288610296,mb_1d_above_mb_fresh_bos,0,2026-05-18,2026-05-20,2026-05-22,22.26,20.98,0.07869906506270159
TXN,2026-05-22,309.11,308.2,297.40260714285716,10.724642857142856,418940.0,426826.8,129498543.4,0.08485131039994906,mb_1d_above_mb_fresh_bos,2,2026-05-14,2026-05-18,2026-05-22,308.2,306.57,0.037874519935113225
