trig_date,entry,exit,len,stopped,caught,lag,net_rot,net_xu
2004-06-29,124,164,40,False,False,,0.028591474208857104,0.06687984840060035
2005-03-24,308,323,15,True,False,,-0.06376997529001549,-0.06545825914844183
2005-05-01,334,374,40,False,True,10.0,0.07998480061327462,0.12082855040653873
2005-10-23,457,497,40,False,True,3.0,0.24010684657980508,0.20739213563894543
2006-03-15,553,561,8,True,False,,-0.07038183218460026,-0.0516607335461865
2006-04-18,577,595,18,True,False,,-0.1073178603154934,-0.067282299119796
2006-05-30,606,612,6,True,False,,-0.11763032786514249,-0.09628974164505832
2006-07-02,629,669,40,False,True,5.0,0.08206002387211297,0.008368095045041102
2006-09-12,680,720,40,False,False,,0.11080866294420844,0.05489857772358375
2006-11-27,731,771,40,False,False,,-0.029057661175495353,0.08422799603539888
2007-03-07,800,840,40,False,True,5.0,0.10403614522302629,0.05922360135171156
2007-05-27,856,896,40,False,False,,0.14784642059177977,0.16515756810623294
2007-08-16,915,955,40,False,True,1.0,0.21794337008065812,0.25156259153811344
2007-10-31,966,1006,40,False,False,,-0.16728647230208804,-0.040643088935268024
2008-01-20,1020,1060,40,True,False,,-0.08635765482418956,-0.08960009853407547
2008-04-03,1074,1114,40,False,False,,-0.03001343525295541,-0.06066034016011013
2008-07-03,1137,1177,40,False,True,3.0,0.33970433121690014,0.12363195500490765
2008-09-18,1192,1200,8,True,False,,-0.14117602507651783,-0.13034725685268644
2008-10-29,1217,1229,12,True,False,,-0.2082321660594888,-0.1583866718308129
2008-12-01,1240,1280,40,False,True,8.0,0.15219805670942077,0.08881358564849928
2009-02-23,1295,1335,40,False,False,,0.37326449836582887,0.195327637404906
2009-12-01,1488,1528,40,False,True,6.0,0.2147796416030876,0.09681359376132326
2010-02-15,1541,1547,6,True,False,,-0.09897228837559024,-0.0878505422040683
2010-03-10,1558,1598,40,False,True,10.0,0.05736534341961819,0.07745422959704218
2010-05-27,1612,1652,40,False,True,3.0,0.017287500040675585,0.0909115089581789
2010-12-01,1738,1749,11,True,False,,-0.10831777542202958,-0.05308263018696169
2011-02-01,1782,1797,15,True,False,,-0.0376472353913998,-0.04941964177413527
2011-03-09,1808,1848,40,False,True,6.0,0.0744334635499635,0.0667047007392565
2011-05-29,1864,1904,40,False,False,,-0.06697531354591901,-0.029209550737699486
2011-08-16,1921,1961,40,False,True,5.0,0.13778578332077207,0.12760207065308093
2011-11-01,1973,1986,13,True,False,,-0.14493381196144073,-0.09915939470057844
2011-12-14,2001,2017,16,True,True,15.0,-0.03376169577520405,-0.03829054627647177
2012-01-22,2028,2068,40,False,False,,0.17429758146407437,0.13116659317506274
2012-06-06,2124,2164,40,False,True,9.0,0.09812815806013098,0.13626014580797796
2013-02-27,2308,2348,40,False,True,4.0,0.08169055735457698,0.0629936461045375
2013-06-30,2393,2428,35,True,False,,-0.16476252925242996,-0.10915476248256628
2013-09-08,2440,2480,40,False,True,7.0,0.033896421003919874,-0.0013805066836382052
2013-11-27,2493,2513,20,True,False,,-0.16837138934667895,-0.15914166303732102
2014-01-13,2525,2532,7,True,False,,-0.07516869532942605,-0.057245376690238325
2014-02-06,2543,2556,13,True,False,,-0.051896917019552014,-0.0383489708690814
2014-03-12,2567,2607,40,False,True,8.0,0.2751194861792585,0.19390704820704197
2014-10-08,2709,2749,40,False,True,1.0,0.15742748777476945,0.1506266487386858
2014-12-21,2760,2800,40,False,False,,0.03230647218843319,0.008253776897758192
2015-03-15,2819,2859,40,False,True,1.0,0.04870108119033478,0.0868577103897068
2015-05-28,2870,2910,40,False,False,,-0.016658034074606975,-0.03281315738038981
2015-08-10,2921,2930,9,True,False,,-0.07172824787455101,-0.06249620728211569
2015-09-20,2950,2990,40,False,True,5.0,0.17402382083601786,0.0726182901205994
2015-12-03,3001,3006,5,True,False,,-0.07087958205982858,-0.06505409863414258
2015-12-28,3018,3021,3,True,False,,-0.04831632005623665,-0.037221702418378966
2016-01-25,3037,3077,40,False,True,3.0,0.08917631892269995,0.1122742238129062
2016-05-23,3121,3128,7,True,False,,-0.0006379323797152114,-0.00895556402786124
2016-06-19,3140,3160,20,True,False,,-0.11057380079813506,-0.07749321713262669
2016-08-04,3171,3211,40,False,False,,-0.020743096484781565,-0.0022797367159045345
2016-10-23,3222,3250,28,True,False,,-0.126049045572052,-0.07884026008736122
2016-12-15,3261,3301,40,False,True,11.0,0.05622253785840137,0.14457108050917533
2017-12-03,3505,3545,40,False,True,4.0,0.14188848291855938,0.12149646946136583
2018-02-14,3557,3597,40,False,False,,0.04341561558228446,-0.062103783274656266
2018-05-09,3615,3631,16,True,False,,-0.0013867565213899757,-0.028476767576008033
2018-06-21,3645,3658,13,True,False,,-0.011764218926422765,-0.050056795523033326
2018-07-25,3669,3684,15,True,False,,-0.08704224320044085,-0.07444992615983792
2018-09-06,3695,3735,40,False,True,11.0,0.10189928253318037,0.029936714121542085
2018-11-20,3747,3776,29,True,False,,-0.07888674829664766,-0.05929016742093152
2019-01-16,3787,3827,40,False,True,10.0,0.11972110488452858,0.04610495538667103
2019-03-28,3838,3865,27,True,False,,-0.021060354829680827,-0.06199150744814541
2019-05-27,3878,3918,40,False,True,4.0,0.11156630478582885,0.17424471126771013
2019-08-22,3934,3974,40,False,False,,0.07848271414325025,0.0050607038216796685
2019-11-05,3985,4025,40,False,True,16.0,0.16718693665987283,0.09463199073633688
2020-03-02,4068,4072,4,True,False,,-0.10123449080637603,-0.09049982524769995
2020-03-29,4087,4127,40,False,True,5.0,0.19143393832903666,0.2022369242638451
2020-06-21,4142,4182,40,False,False,,-0.08052811491328771,-0.04060916161380135
2020-09-23,4207,4247,40,False,True,35.0,0.05006097837926693,0.16557749272796962
2021-04-25,4356,4396,40,False,False,,-0.006177712942225688,-0.0031002729885062363
2021-07-08,4407,4447,40,False,False,,0.08026887144097361,0.053919577585190614
2021-09-30,4461,4501,40,False,False,,0.21185006300595277,0.29393277967827713
2021-12-23,4520,4560,40,False,True,2.0,-0.025322710060360243,0.0710630373248009
2022-03-14,4577,4617,40,False,True,13.0,0.09590605677339759,0.1411421055151283
2022-07-17,4659,4699,40,False,True,6.0,0.29315175424499107,0.3735707685174827
2022-09-29,4712,4752,40,False,True,1.0,0.5454056172837571,0.4470142034827671
2023-01-19,4792,4800,8,True,False,,-0.19375066013792408,-0.1233148953728701
2023-02-26,4813,4853,40,False,True,9.0,0.045131071826016944,-0.08939297313707584
2023-05-10,4864,4904,40,False,True,4.0,0.15130773045852952,0.3239703051448808
2023-10-23,4977,5017,40,False,False,,-0.13228239610206105,0.028941710690040923
2024-01-04,5029,5069,40,False,True,6.0,0.14118688365731757,0.1358296740092062
2024-03-17,5080,5120,40,False,False,,0.2839769731029047,0.21642893252445328
2024-09-01,5190,5197,7,True,False,,-0.06349020479361955,-0.05281714768638657
2024-11-10,5239,5279,40,False,True,4.0,0.15983781078866155,0.06873704777486944
2025-01-21,5290,5330,40,False,False,,-0.0038863987211193995,-0.03275586178489753
2025-04-07,5342,5382,40,False,False,,0.06610851944017804,0.041135466438467105
2025-06-24,5393,5433,40,False,True,15.0,0.38611353305579277,0.21902509217400445
2025-09-14,5450,5471,21,True,False,,-0.025895230977799333,-0.06705495987575694
2025-10-29,5482,5522,40,False,True,8.0,0.05155514615631507,0.02633796338327299
2026-04-05,5592,5632,40,False,True,19.0,0.14830013100428285,0.06050710495234779
