event,tpos,bank,beta,crush,fwd,xb_fwd,rel,alpha
2017-11-27,3500,AKBNK,-0.09435495865362319,0.054684027162851145,0.06857146897557365,0.06577937644754028,0.002792092528033363,0.07477807932054242
2017-11-27,3500,ALBRK,-0.004056821116884484,0.015020835163521151,0.03571353994982451,0.06577937644754028,-0.03006583649771577,0.03598039511325239
2017-11-27,3500,GARAN,-0.1053606598272401,0.08077831760060494,0.09229124751071827,0.06577937644754028,0.026511871063177983,0.09922180601625552
2017-11-27,3500,HALKB,-0.04832779248652006,-0.015368987184946725,0.21965315212382985,0.06577937644754028,0.15387377567628957,0.22283212417867926
2017-11-27,3500,ICBCT,0.10941245650675373,-0.305149617550055,0.17380347955398556,0.06577937644754028,0.10802410310644528,0.1666063963893777
2017-11-27,3500,ISCTR,-0.0844498631783237,0.02001501394863603,0.0928690946613544,0.06577937644754028,0.027089718213814118,0.09842415400230463
2017-11-27,3500,SKBNK,-0.0442061744542842,0.02229320263644541,0.10077551597451007,0.06577937644754028,0.03499613952696978,0.10368337056524407
2017-11-27,3500,TSKB,-0.13742669428375262,0.12985827815750162,0.04545392626688094,0.06577937644754028,-0.020325450180659344,0.05449376852411293
2017-11-27,3500,VAKBN,-0.10638480926592891,0.07102916321030073,0.13893965382232398,0.06577937644754028,0.0731602773747837,0.1459375802393273
2017-11-27,3500,YKBNK,-0.11535968575643224,0.05125509216743074,0.04962791624852758,0.06577937644754028,-0.0161514601990127,0.05721620444476989
2018-08-15,3683,AKBNK,-0.047714565720773615,0.02827712217110545,-0.0053002599871411205,0.022558841640138105,-0.027859101627279226,-0.004223874655118226
2018-08-15,3683,ALBRK,-0.11634311021733842,0.07340473185973473,0.11290400918749288,0.022558841640138105,0.09034516754735478,0.11552857498680695
2018-08-15,3683,GARAN,-0.1302046032048961,0.014975786758532728,0.041522554256147925,0.022558841640138105,0.01896371261600982,0.0444598192806642
2018-08-15,3683,HALKB,-0.1655294071851893,0.0724217288818183,0.041166423858674195,0.022558841640138105,0.01860758221853609,0.04490057554215082
2018-08-15,3683,ICBCT,0.1190956084629842,0.2322411342280477,0.2062780422477719,0.022558841640138105,0.1837192006076338,0.20359138327641957
2018-08-15,3683,ISCTR,-0.07842020225604346,-0.031361108893354195,0.041557662132557516,0.022558841640138105,0.01899882049241941,0.0433267310566392
2018-08-15,3683,SKBNK,-0.08652520005408013,0.04869616474461225,0.019608281368812985,0.022558841640138105,-0.00295056027132512,0.02156018965471425
2018-08-15,3683,TSKB,-0.1520162672236453,-0.010646637975631368,0.05555550642412177,0.022558841640138105,0.032996664783983665,0.0589848173231449
2018-08-15,3683,VAKBN,-0.12730796045211282,0.03936211326815264,0.005952446419502655,0.022558841640138105,-0.01660639522063545,0.008824366538870834
2018-08-15,3683,YKBNK,-0.16795021802575724,-0.037429308433516884,0.012195136806254281,0.022558841640138105,-0.010363704833883824,0.015983899178124008
2019-01-02,3776,AKBNK,-0.0636292781351747,-0.0500997473325705,0.19675106326797032,0.14196103219054002,0.0547900310774303,0.20578394126957866
2019-01-02,3776,ALBRK,-0.07148362346493096,-0.011212195054381424,0.040983799383505826,0.14196103219054002,-0.10097723280703419,0.051131688355307334
2019-01-02,3776,GARAN,-0.08677335538461946,0.016656596484277864,0.22281160076599016,0.14196103219054002,0.08085056857545014,0.23513003586302728
2019-01-02,3776,HALKB,-0.11506976406396197,0.011764808303465046,0.16133940868855334,0.14196103219054002,0.019378376498013328,0.1776748311689953
2019-01-02,3776,ICBCT,-0.08476297008295307,-0.4812600840146003,0.15584421750297928,0.14196103219054002,0.013883185312439261,0.16787725622749117
2019-01-02,3776,ISCTR,-0.071572906246937,0.08516513366505929,0.22815472810416337,0.14196103219054002,0.08619369591362336,0.2383152917518553
2019-01-02,3776,SKBNK,-0.10471076672778781,-0.029012717562481027,0.0970863714270842,0.14196103219054002,-0.04487466076345581,0.11195121995322382
2019-01-02,3776,TSKB,-0.0988139197777337,0.06944450631130883,0.0684930909416972,0.14196103219054002,-0.07346794124884282,0.08252081698813749
2019-01-02,3776,VAKBN,-0.09660574439680017,0.028179835542443743,0.17403318628658448,0.14196103219054002,0.03207215409604447,0.1877474374766897
2019-01-02,3776,YKBNK,-0.09799117144817644,0.008264674982479625,0.13725493487732998,0.14196103219054002,-0.004706097313210034,0.1511658627216733
2019-05-21,3873,AKBNK,-0.051367879899014215,0.03527400193691543,0.16485509398443443,0.12924554472002936,0.03560954926440507,0.17149416360309558
2019-05-21,3873,ALBRK,-0.046680360634333444,-0.11357932505705781,0.11111175616218882,0.12924554472002936,-0.018133788557840536,0.11714498480010066
2019-05-21,3873,GARAN,-0.08161805407233558,0.0023038572841226346,0.1777151625598854,0.12924554472002936,0.04846961783985604,0.1882639324174532
2019-05-21,3873,HALKB,-0.08039450725431868,-0.022240697992461644,0.06653613833017613,0.12924554472002936,-0.06270940638985323,0.0769267702127589
2019-05-21,3873,ICBCT,-0.07667576715615237,-0.05964729037179273,0.22878224237333278,0.12924554472002936,0.09953669765330342,0.23869224366625583
2019-05-21,3873,ISCTR,-0.026521468681725897,-0.02604900548678668,0.08418953598869039,0.12924554472002936,-0.04505600873133897,0.08761731765523526
