ticker,rank,score,weight
TERA,1.0,25.178619829572245,0.05
KGYO,2.0,14.665517035638569,0.05
PEKGY,3.0,10.160115889882814,0.05
GMTAS,4.0,6.956403664615707,0.05
RALYH,5.0,6.806615990975124,0.05
MAGEN,6.0,5.932479247928593,0.05
PASEU,7.0,5.368696506913723,0.05
ENSRI,8.0,5.0726981491453556,0.05
ISKPL,9.0,4.760642706535594,0.05
TDGYO,10.0,4.693309050253541,0.05
KTLEV,11.0,4.407801053985175,0.05
MMCAS,12.0,4.262860357850005,0.05
YGGYO,13.0,4.019810372169633,0.05
ETYAT,14.0,3.9099870421740053,0.05
EFOR,15.0,3.8665655708566122,0.05
ASELS,16.0,3.8620131754102776,0.05
KUVVA,17.0,3.8171706601835074,0.05
AGESA,18.0,3.546567711417415,0.05
TABGD,19.0,3.528395447616635,0.05
DMSAS,20.0,3.4359067050763548,0.05
