rebalance_date,profile,status,n_names,portfolio_return,turnover_fraction,names_changed,net_return_60bps,cum_equity_net60,rolling_maxdd_net60,cagr_so_far_net60,mean_monthly_net60_so_far,sharpe_net60_so_far
2023-11-30,M0,realized,20,-0.1087349921188737,,,-0.1087349921188737,0.8912650078811263,0.0,-0.748763767994203,-0.1087349921188737,
2023-11-30,V5,realized,20,-0.0442042643401303,,,-0.0442042643401303,0.9557957356598697,0.0,-0.41872577914400644,-0.0442042643401303,
2023-12-29,M0,realized,20,0.2265796504684953,0.45,9.0,0.2238796504684952,1.0908011063203535,0.0,0.6845093211032849,0.05757232917481075,1.1992039612586676
2023-12-29,V5,realized,20,0.1153641692757631,0.3,6.0,0.1135641692757631,1.0643398843774,0.0,0.45372420464312113,0.0346799524678164,1.52292669202949
2024-01-31,M0,realized,20,0.0537965764058877,0.45,9.0,0.0510965764058877,1.1465373083930783,0.0,0.7280359172682123,0.055413744918503066,1.4132944923778208
2024-01-31,V5,realized,20,0.0753184065189078,0.15,3.0,0.0744184065189078,1.1435463625672846,0.0,0.7100748002526518,0.047926103818180195,2.475058141506281
2024-02-29,M0,realized,20,-0.0846500715602559,0.35,7.0,-0.0867500715602559,1.0470751148434756,-0.08675007156025594,0.14797786542505342,0.019872790798813326,0.5185353760808121
2024-02-29,V5,realized,20,0.0428607566876281,0.0,0.0,0.0428607566876281,1.1925596249743031,0.0,0.6960564610458082,0.04665976703554217,2.780454974088762
2024-03-29,M0,realized,20,0.0265899612026388,0.4,8.0,0.0241899612026388,1.0724038212477878,-0.0646585912229859,0.18266037697599113,0.02073622487957842,0.6048647995355096
2024-03-29,V5,realized,20,0.1316611486459065,0.1,2.0,0.1310611486459065,1.348857859252167,0.0,1.0507789365619726,0.06354004335761504,3.550487736281487
2024-04-30,M0,realized,20,-0.0522168253859014,0.4,8.0,-0.0546168253859014,1.013832528999524,-0.115743969622363,0.027856396857570687,0.008177383168665118,0.2529477996488627
2024-04-30,V5,realized,20,0.0657878551065958,0.0,0.0,0.0657878551065958,1.4375963246560415,0.0,1.0666831926645588,0.06391467864911184,3.911867787694911
2024-11-29,M0,realized,20,0.0244581060973546,0.95,19.0,0.0187581060973546,1.0328501071434464,-0.09915700118731374,0.056973115419684195,0.00968891501562076,0.32351048860165377
2024-11-29,V5,realized,20,0.0151298086113767,0.85,17.0,0.0100298086113767,1.4520151406527604,0.0,0.8952426447820268,0.05621684007229253,3.4968985453030235
2024-12-31,M0,realized,20,-0.0044852308699171,0.45,9.0,-0.0071852308699171,1.0254288406696022,-0.10562976611133124,0.03838472772385848,0.007579646779928526,0.27011039446065704
2024-12-31,V5,realized,20,0.0028902537609876,0.15,3.0,0.0019902537609876,1.4549050192474553,0.0,0.754898340216418,0.04943851678337941,3.1085395962420828
2025-01-31,M0,realized,20,0.0857652070623534,0.4,8.0,0.0833652070623534,1.1109139282997325,-0.03107040637279701,0.1505545541820772,0.016000264589086845,0.5853350600895305
2025-01-31,V5,realized,20,0.0059503946025986,0.3,6.0,0.0041503946025986,1.4609434491866338,0.0,0.6577201146774763,0.0444065032077371,2.8562309950946485
2025-02-28,M0,realized,20,0.0746728221263838,0.35,7.0,0.0725728221263838,1.191536087215951,0.0,0.234038303574009,0.021657520342816542,0.8206335979239309
2025-02-28,V5,realized,20,0.0906021680127798,0.2,4.0,0.0894021680127798,1.5915549608879873,0.0,0.746569889566018,0.04890606968824137,3.205804409610565
2025-03-28,M0,realized,20,0.1350425339956559,0.4,8.0,0.1326425339956559,1.3495844531715435,0.0,0.3868721795351102,0.03174706703852921,1.1847809401955236
2025-03-28,V5,realized,20,0.0345200349231558,0.2,4.0,0.0333200349231558,1.6445856277668969,0.0,0.7206715963443797,0.04748915743686996,3.252031187266266
2025-04-30,M0,realized,20,-0.0073509887435153,0.35,7.0,-0.0094509887435153,1.3368295456961958,-0.009450988743515465,0.33682954569619583,0.028313895723358833,1.0946938360674257
2025-04-30,V5,realized,20,-0.0090427318444829,0.5,10.0,-0.0120427318444829,1.6247803240564096,-0.012042731844482901,0.6247803240564096,0.042528166663423884,2.8801373198188824
2025-11-28,M0,realized,20,0.0926246503894364,0.75,15.0,0.0881246503894364,1.4546371820409423,0.0,0.4133023896943204,0.0329147230053648,1.3024035844213293
2025-11-28,V5,realized,20,0.0845865439907679,0.4,8.0,0.0821865439907679,1.7583154036348057,0.0,0.6836165344576999,0.04557881107321958,3.1409780926921096
2025-12-31,M0,realized,20,0.1753653524555143,0.5,10.0,0.1723653524555143,1.7053662326183252,0.0,0.5801592250473018,0.04287548225180405,1.6199013106590685
2025-12-31,V5,realized,20,0.0694953647596214,0.25,5.0,0.0679953647596214,1.8778727008674152,0.0,0.7162121982294378,0.047179993479391134,3.3503433951894555
2026-01-30,M0,realized,20,0.0584625641391706,0.15,3.0,0.0575625641391706,1.8035314857641933,0.0,0.6028725182480701,0.043854621044295154,1.713583890172768
2026-01-30,V5,realized,20,6.001613898778402e-05,0.2,4.0,-0.0011399838610122,1.875731956295391,-0.001139983861012217,0.6540042530140266,0.04395866165669758,3.1303950253728554
2026-02-27,M0,realized,20,0.1848796562169327,0.3,6.0,0.1830796562169327,2.133721410154316,0.0,0.765441317055336,0.052556185742585,1.9742360988850371
2026-02-27,V5,realized,20,0.1240903910433055,0.4,8.0,0.1216903910433055,2.1039905115494015,0.0,0.7469594835342308,0.048816894743360574,3.3341645136654674
2026-03-31,M0,realized,20,0.1215066209948583,0.45,9.0,0.1188066209948583,2.3872216410391345,0.0,0.848195116974892,0.05645327016918931,2.1534479881238697
2026-03-31,V5,realized,20,0.0984370678352684,0.35,7.0,0.0963370678352684,2.3066827881852974,0.0,0.8039593014263136,0.05161219904288456,3.543241979815265
