ticker,rank,score,weight
TUREX,1.0,13.709688822239665,0.05
GRTHO,2.0,10.875607590317058,0.05
BEGYO,3.0,10.02953079009502,0.05
ZRGYO,4.0,9.27781489816977,0.05
IZFAS,5.0,8.582219465762764,0.05
BMSTL,6.0,8.555893432486704,0.05
TKFEN,7.0,7.6958143400645875,0.05
GZNMI,8.0,7.468675037386543,0.05
RALYH,9.0,7.315600804284771,0.05
LIDER,10.0,6.883654096730651,0.05
BORLS,11.0,6.871406144300727,0.05
FZLGY,12.0,6.4832790905351585,0.05
ISKPL,13.0,6.365489040507332,0.05
KUYAS,14.0,6.28343423688973,0.05
GENTS,15.0,6.225086534283965,0.05
PASEU,16.0,5.866778407640631,0.05
YGGYO,17.0,5.7084735139965535,0.05
ASELS,18.0,5.613477732517983,0.05
SANFM,19.0,5.536327314999026,0.05
OSTIM,20.0,5.297272491621417,0.05
