profile,n_realized_rebalances,n_pending_rebalances,realized_nCAGR_60,expected_nCAGR_60,nCAGR_delta,realized_nShp_60,expected_nShp_60,nShp_delta,realized_MaxDD_60,expected_MaxDD_60,MaxDD_delta,realized_turnover,expected_turnover,turnover_delta
V5,17,0,0.8039593014263136,0.804,-4.069857368649288e-05,3.543241979815266,3.54,0.0032419798152658608,-0.012042731844482901,-0.012,-4.273184448290099e-05,0.271875,0.2719,-2.4999999999997247e-05
M0,17,0,0.848195116974892,0.848,0.00019511697489205115,2.1534479881238697,2.15,0.0034479881238698162,-0.115743969622363,-0.1157,-4.396962236299928e-05,0.44375,0.4438,-4.999999999999449e-05
