ticker,rank,score,weight
BEGYO,1,0.996653907889863,0.05
GZNMI,2,0.9410496332636946,0.05
BALAT,3,0.93979503642425,0.05
ZRGYO,4,0.9336416415292483,0.05
PAGYO,5,0.9265195563561781,0.05
YGGYO,6,0.9155980946398491,0.05
AKSGY,7,0.9043333205239441,0.05
LKMNH,8,0.8856102153842638,0.05
TUREX,9,0.8853130258757952,0.05
SAFKR,10,0.8716595864596788,0.05
TBORG,11,0.8679118084885545,0.05
ISKPL,12,0.850239085005616,0.05
BMSTL,13,0.8427602282813518,0.05
ESCAR,14,0.8389938404083874,0.05
GENTS,15,0.832587884419338,0.05
MACKO,16,0.822925139177987,0.05
KUVVA,17,0.8207289411651981,0.05
EBEBK,18,0.8184786036751642,0.05
BASGZ,19,0.8168215162807424,0.05
ARSAN,23,0.7898684595856135,0.05
