ticker,rank,score,weight
ZRGYO,1,0.9299947289160099,0.05
EUHOL,2,0.9231473539268271,0.05
PAGYO,3,0.9144170606071579,0.05
BASGZ,4,0.912146551514442,0.05
BRKO,5,0.902870530208444,0.05
DOCO,6,0.8978296238407424,0.05
GZNMI,7,0.889964435066715,0.05
AKSGY,8,0.8803051149335531,0.05
BORLS,9,0.8793607913579271,0.05
YGGYO,10,0.8788440470399155,0.05
AGESA,11,0.863381649178357,0.05
ESCAR,12,0.8632451200067983,0.05
HATEK,13,0.8557731068262165,0.05
LIDER,14,0.8458790018574498,0.05
LKMNH,16,0.8373150103462533,0.05
ARSAN,18,0.8311136323456929,0.05
ULUFA,19,0.831074004609687,0.05
GENTS,20,0.8204665454777672,0.05
ANSGR,22,0.8159698353145032,0.05
GRTHO,23,0.8021390512405316,0.05
