ticker,rank,score,weight
RAYSG,1.0,15.072065873069167,0.05
PEKGY,2.0,11.268979743130538,0.05
AYCES,3.0,7.8680423146178216,0.05
BRSAN,4.0,7.5141487336766595,0.05
PAPIL,5.0,7.117321849114051,0.05
EMKEL,6.0,5.82710535873875,0.05
BJKAS,7.0,5.8250025854897025,0.05
TURSG,8.0,5.277637668370474,0.05
SEGYO,9.0,5.230039729217363,0.05
ANSGR,10.0,4.823785646744168,0.05
TEHOL,11.0,4.812056060374888,0.05
CCOLA,12.0,4.525827001185569,0.05
GRSEL,13.0,4.078775998980829,0.05
OZRDN,14.0,3.951671701477173,0.05
ARDYZ,15.0,3.7685139774586838,0.05
IZFAS,16.0,3.6076005605833483,0.05
YKBNK,17.0,3.5657757207217324,0.05
BIMAS,18.0,3.5446259587581017,0.05
AKBNK,19.0,3.5343032197498006,0.05
GARAN,20.0,3.5043689491968553,0.05
