ticker,rank,score,weight
TERA,1,0.8968879790631548,0.05
PAGYO,2,0.8735312604028609,0.05
YGGYO,3,0.8725348148161561,0.05
ARSAN,4,0.871903970832104,0.05
GZNMI,5,0.8718758887514436,0.05
TAVHL,6,0.8695303001400072,0.05
AGESA,7,0.8615886971315208,0.05
ZRGYO,8,0.8540084850821408,0.05
TUREX,9,0.8513507932906943,0.05
PINSU,10,0.8511805029282882,0.05
FZLGY,11,0.8505436132655609,0.05
MACKO,12,0.8434371839274356,0.05
TRGYO,13,0.840155512046731,0.05
AKSGY,14,0.837825823785911,0.05
DOCO,15,0.8360778741535139,0.05
ISKPL,16,0.8346543574374503,0.05
NTHOL,20,0.8069940316081081,0.05
OTTO,25,0.7909606375733322,0.05
SNGYO,26,0.7908490768215961,0.05
ESCAR,27,0.7902636922542077,0.05
