ticker,rank,score,weight
RAYSG,1.0,17.009185889638886,0.05
ISBTR,2.0,13.913346265910578,0.05
LYDHO,3.0,7.198451608178237,0.05
LINK,4.0,6.68839477388795,0.05
POLTK,5.0,6.619500312849613,0.05
CMBTN,6.0,6.460200943118459,0.05
GARFA,7.0,5.504646027521274,0.05
PAPIL,8.0,5.471202072484083,0.05
BAYRK,9.0,5.452515622912328,0.05
BSOKE,10.0,4.882270626050878,0.05
QNBTR,11.0,4.096222267920382,0.05
TURSG,12.0,4.048288041879732,0.05
OZRDN,13.0,3.980972424951097,0.05
PINSU,14.0,3.699121705448546,0.05
BRKSN,15.0,3.349045444180162,0.05
TTRAK,16.0,3.2704030316689447,0.05
ARDYZ,17.0,3.2235729913090445,0.05
SNPAM,18.0,3.1012458407261114,0.05
ANELE,19.0,3.043873545546687,0.05
ENSRI,20.0,3.0181385850264943,0.05
