ticker,rank,score,weight
CEMZY,1,0.9716426682339112,0.05
YGGYO,2,0.9191414065302845,0.05
PAGYO,3,0.8888973211712301,0.05
ZRGYO,4,0.8852058701626044,0.05
BASGZ,5,0.8811225192216786,0.05
KUVVA,6,0.8715311374731082,0.05
AKSGY,7,0.8568165230625652,0.05
UFUK,8,0.8538602497543092,0.05
TRCAS,9,0.8437270735227217,0.05
IEYHO,10,0.8423141327592484,0.05
IHAAS,11,0.840527112540767,0.05
ISFIN,13,0.8345378993943715,0.05
OZKGY,14,0.8319596046588926,0.05
ISGYO,16,0.8277884598243567,0.05
ATAKP,18,0.8245025290427381,0.05
MMCAS,19,0.8203622604152876,0.05
NTGAZ,24,0.8107981706241678,0.05
ISKPL,25,0.8099349517272549,0.05
AYGAZ,26,0.8064312568971983,0.05
TABGD,29,0.8000920284494388,0.05
