ticker,rank,score,weight
RAYSG,1.0,11.846075270843242,0.05
PRZMA,2.0,11.272065952446296,0.05
BJKAS,3.0,10.732803311368613,0.05
PEKGY,4.0,9.293065748354207,0.05
KRGYO,5.0,7.756296629561194,0.05
EMKEL,6.0,6.800585039996585,0.05
LYDHO,7.0,5.949575916043869,0.05
GRSEL,8.0,5.439135071229712,0.05
ADEL,9.0,5.332031362328386,0.05
BTCIM,10.0,4.843093056637452,0.05
KLRHO,11.0,4.75766180865869,0.05
ANSGR,12.0,4.6380245660016115,0.05
OYAKC,13.0,4.363739764661423,0.05
TEHOL,14.0,4.351656816948723,0.05
AZTEK,15.0,4.335355807782248,0.05
TURSG,16.0,4.216980929198045,0.05
TUPRS,17.0,4.045663549408731,0.05
MGROS,18.0,3.9328719764249893,0.05
EUYO,19.0,3.8711254685498435,0.05
AKCNS,20.0,3.7679489122347958,0.05
