ticker,rank,score,weight
RAYSG,1,0.9736683666241677,0.05
BIMAS,2,0.9627471888113713,0.05
TUPRS,3,0.9581158605685544,0.05
CCOLA,4,0.9427504685317756,0.05
YKBNK,5,0.9379382828624403,0.05
KCHOL,6,0.9373334463204666,0.05
AKBNK,7,0.9134822693707574,0.05
ASELS,8,0.9130970297036172,0.05
SAHOL,9,0.8927981131807414,0.05
DOCO,10,0.8922370960675233,0.05
OTKAR,11,0.8890386246444691,0.05
MGROS,12,0.884036519578858,0.05
THYAO,13,0.8811101113925559,0.05
FROTO,14,0.8809821036463075,0.05
GARAN,15,0.8788642842642895,0.05
AEFES,16,0.8604451906303034,0.05
TRGYO,19,0.8434999918247913,0.05
MPARK,26,0.8210524649285236,0.05
ENJSA,27,0.8146813869605749,0.05
VESBE,29,0.7977989096325934,0.05
