ticker,rank,score,weight
KGYO,1,0.9979122354335925,0.05
ZRGYO,2,0.9437573422611896,0.05
PAGYO,3,0.920940049456725,0.05
YGGYO,4,0.9141521279712722,0.05
BASGZ,5,0.8833052802645736,0.05
KUVVA,6,0.8749901548812148,0.05
AKSGY,7,0.8733502789376582,0.05
OZYSR,8,0.8656333902855748,0.05
MACKO,9,0.8654075293156227,0.05
AGESA,10,0.8555738519513473,0.05
ISFIN,11,0.855208998270315,0.05
NTGAZ,12,0.8424267033974033,0.05
ISGYO,13,0.8358978265818937,0.05
MMCAS,14,0.8255823076118414,0.05
TABGD,15,0.8162790163986551,0.05
BALAT,17,0.8123976925557214,0.05
TBORG,19,0.8077507541344409,0.05
LKMNH,22,0.7983854103526151,0.05
ISKPL,25,0.7813950402537755,0.05
ARSAN,26,0.7790306069328743,0.05
