ticker,rank,score,weight
TUREX,1.0,11.811441141814067,0.05
SANFM,2.0,10.939324222650475,0.05
BRKO,3.0,7.823678602442669,0.05
YAPRK,4.0,7.444678496516604,0.05
RYSAS,5.0,7.327153473438202,0.05
RYGYO,6.0,6.844399456946503,0.05
TERA,7.0,6.823906043534125,0.05
SUNTK,8.0,6.651918565237919,0.05
IZFAS,9.0,6.602020712675936,0.05
GRSEL,10.0,6.459826273642222,0.05
RALYH,11.0,6.303864986448417,0.05
AGESA,12.0,6.076755483982012,0.05
GZNMI,13.0,6.064116011734997,0.05
GRTHO,14.0,5.777956268500578,0.05
DAGI,15.0,5.708963623999128,0.05
EUHOL,16.0,5.631777211033631,0.05
FORMT,17.0,5.399937008489805,0.05
ESCAR,18.0,5.362745790637786,0.05
LIDER,19.0,5.353230958468019,0.05
GENIL,20.0,5.180500563629445,0.05
