ticker,rank,score,weight
YGGYO,1,0.8988910998663286,0.05
MMCAS,2,0.8978628301654759,0.05
KUVVA,3,0.8890731477055464,0.05
ISFIN,4,0.8837760632612671,0.05
AYGAZ,5,0.8784614950854145,0.05
PAGYO,6,0.8743393577896148,0.05
BASGZ,7,0.8679973158456493,0.05
ISGYO,8,0.8673630887152233,0.05
ZRGYO,9,0.8626955095484433,0.05
TRCAS,10,0.8495660091279196,0.05
BALAT,11,0.8452654381222302,0.05
ISKPL,12,0.843863438570584,0.05
ATAKP,13,0.8367193298065067,0.05
AKSGY,14,0.8262909949937756,0.05
TABGD,15,0.8262346005368442,0.05
GMTAS,16,0.8178918615157393,0.05
AGESA,17,0.816599292060767,0.05
OZKGY,18,0.813321697318569,0.05
OZYSR,26,0.7846090292583539,0.05
NTGAZ,28,0.778039185797263,0.05
