ticker,rank,score,weight
SANFM,1.0,10.04071516932126,0.05
TUREX,2.0,9.115371480002977,0.05
IZFAS,3.0,7.934344242434868,0.05
UFUK,4.0,7.77986722906975,0.05
GRTHO,5.0,6.650265051911441,0.05
SNGYO,6.0,6.440390627838583,0.05
RALYH,7.0,6.027885187192126,0.05
GRSEL,8.0,5.978259691171798,0.05
EUHOL,9.0,5.83547178641175,0.05
GZNMI,10.0,5.685159079963183,0.05
FORMT,11.0,5.664669198619613,0.05
DYOBY,12.0,5.571210289387457,0.05
ENERY,13.0,5.558371174016846,0.05
ISKPL,14.0,5.422718908394053,0.05
IEYHO,15.0,5.327696333675455,0.05
ZRGYO,16.0,5.01793123202592,0.05
GENIL,17.0,4.859590770547118,0.05
RYSAS,18.0,4.751065013323104,0.05
BANVT,19.0,4.720049012169424,0.05
LIDER,20.0,4.6517447997521675,0.05
