ticker,rank,score,weight
RAYSG,1,0.9986187845303867,0.05
KLRHO,2,0.9859943977591037,0.05
TUPRS,3,0.9693037435968863,0.05
BIMAS,4,0.9443451413714656,0.05
KCHOL,5,0.9386074871937725,0.05
CCOLA,6,0.9373810297599703,0.05
TRGYO,7,0.9262539269851586,0.05
GRSEL,8,0.9211353049507096,0.05
IEYHO,9,0.9146238605939614,0.05
YKBNK,10,0.9063559125307581,0.05
SKBNK,11,0.90117925623288,0.05
FENER,12,0.8969001965427055,0.05
ASELS,13,0.892717860624913,0.05
MPARK,14,0.8764914805701286,0.05
ENJSA,15,0.876046551217172,0.05
AKBNK,16,0.8747040252565115,0.05
ESCAR,17,0.8737097048764257,0.05
VESBE,18,0.8713032174195645,0.05
THYAO,19,0.8712838726650881,0.05
MGROS,20,0.8643120231518021,0.05
