ticker,rank,score,weight
RAYSG,1,0.9697289201541891,0.05
BIMAS,2,0.9552878883372358,0.05
CCOLA,3,0.9500457835900178,0.05
YKBNK,4,0.9317243902089021,0.05
KCHOL,5,0.9254290182422005,0.05
AKBNK,6,0.9247092106129025,0.05
DOCO,7,0.9185157295120476,0.05
GARAN,8,0.9132961053187999,0.05
ASELS,9,0.9045820207476958,0.05
SAHOL,10,0.8940802472719929,0.05
TEHOL,11,0.8926254786448077,0.05
TUPRS,12,0.8914141281560057,0.05
AEFES,13,0.8895373781739381,0.05
MGROS,14,0.88827940445437,0.05
OTKAR,15,0.879948561675125,0.05
TCELL,16,0.8712667000909858,0.05
MAVI,17,0.8710580322633648,0.05
FROTO,19,0.8613028148372464,0.05
THYAO,22,0.8494024816381819,0.05
ENJSA,30,0.7996149241389012,0.05
