ticker,rank,score,weight
RALYH,1.0,10.343222741982995,0.05
ZRGYO,2.0,9.327457688247536,0.05
GRTHO,3.0,9.142334366122554,0.05
IZFAS,4.0,8.954824145216461,0.05
TUREX,5.0,8.474438219881941,0.05
BMSTL,6.0,7.732114448756706,0.05
SANFM,7.0,7.13240655171129,0.05
ISKPL,8.0,6.482817267294234,0.05
BORLS,9.0,6.3933296819761845,0.05
KUYAS,10.0,6.279528787546997,0.05
TERA,11.0,6.2696248489882125,0.05
GRSEL,12.0,6.054543100102423,0.05
PASEU,13.0,5.92464189622716,0.05
FZLGY,14.0,5.914720377097956,0.05
KRGYO,15.0,5.69777880294323,0.05
BRKO,16.0,5.4788014474958855,0.05
EUHOL,17.0,5.4511237391338305,0.05
DOCO,18.0,5.154926133282336,0.05
YGGYO,19.0,5.147519341986443,0.05
OYAKC,20.0,5.044058599085508,0.05
