ticker,rank,score,weight
RAYSG,1.0,15.748609119796127,0.05
PEKGY,2.0,11.413657555936252,0.05
BJKAS,3.0,11.257913149501766,0.05
AYCES,4.0,6.807772494579671,0.05
EMKEL,5.0,5.695295154955511,0.05
ANSGR,6.0,5.552355724450747,0.05
TEHOL,7.0,5.324501980415475,0.05
BTCIM,8.0,5.092612074345204,0.05
GRSEL,9.0,5.040482201796971,0.05
AZTEK,10.0,4.979985917823342,0.05
BIMAS,11.0,4.606125384637462,0.05
TUPRS,12.0,4.318408137217724,0.05
ELITE,13.0,4.164925455498479,0.05
TMPOL,14.0,3.8456376340876877,0.05
KONYA,15.0,3.79320438135548,0.05
LYDHO,16.0,3.6581274579155476,0.05
OTKAR,17.0,3.604988157934912,0.05
YKBNK,18.0,3.5894227073127696,0.05
CCOLA,19.0,3.5630921688596953,0.05
BFREN,20.0,3.560366025510786,0.05
