scan,run,universe,mode,cohort,segment,n_sig,hit5,mean5,med5,uni_mean5,rnd_mean5,rnd_p95_5,edge5,beats_rnd_p95,trade_n,trade_hit,trade_mean,trade_med,trade_pf
alpha_scan,alpha_xu100,XU100,pit,all_candidates,val_2025H2,2237,57.0407,1.4794,1.0686,0.3680,0.7727,0.9479,0.7067,True,2225,61.5730,3.3543,2.9798,2.1090
alpha_scan,alpha_xu100,XU100,pit,top4,val_2025H2,517,60.1547,2.4702,1.9504,0.3680,0.3683,0.7191,2.1019,True,508,63.5827,5.5375,4.0523,2.7257
alpha_scan,alpha_xu100,XU100,pit,all_candidates,oos_2026,2541,54.5061,1.0092,0.6745,0.5176,0.5753,0.7500,0.4339,True,2591,56.7734,3.1203,2.2738,1.9315
alpha_scan,alpha_xu100,XU100,pit,top4,oos_2026,501,60.4790,1.9298,1.8262,0.5176,0.5114,0.9123,1.4184,True,512,64.2578,6.4314,4.4164,3.0903
alpha_scan,alpha_xu100_cur,XU100,current,all_candidates,full,22961,57.1970,1.5519,1.1419,0.9420,1.2513,1.3024,0.3006,True,23024,61.1101,4.3212,3.3988,2.3577
alpha_scan,alpha_xu100_cur,XU100,current,top4,full,4982,57.1457,1.7821,1.2437,0.9420,1.0204,1.1204,0.7617,True,4995,61.8218,5.4028,3.9346,2.6241
alpha_scan,alpha_xu100_cur,XU100,current,all_candidates,pre_2025H1,17863,57.5715,1.6270,1.1876,1.0465,1.3661,1.4185,0.2609,True,17883,61.5221,4.5688,3.6534,2.4324
alpha_scan,alpha_xu100_cur,XU100,current,top4,pre_2025H1,3958,56.6195,1.6692,1.1306,1.0465,1.1060,1.2186,0.5632,True,3958,61.4452,5.1183,3.8227,2.5292
alpha_scan,alpha_xu100_cur,XU100,current,all_candidates,val_2025H2,2481,56.8722,1.4055,1.1494,0.7233,0.9708,1.0948,0.4346,True,2480,62.8629,4.1136,3.1480,2.4333
alpha_scan,alpha_xu100_cur,XU100,current,top4,val_2025H2,520,59.0385,2.0847,1.7287,0.7233,0.7860,1.1187,1.2987,True,520,64.4231,6.9351,5.0927,3.2448
alpha_scan,alpha_xu100_cur,XU100,current,all_candidates,oos_2026,2617,54.9484,1.1780,0.7240,0.4763,0.6579,0.8976,0.5201,True,2661,56.7080,2.8501,2.2669,1.8314
alpha_scan,alpha_xu100_cur,XU100,current,top4,oos_2026,504,59.3254,2.3572,1.5382,0.4763,0.3988,1.2892,1.9584,True,517,62.0890,6.0395,3.9345,2.7716
screener_combo,combo_all,ALL,pit,RT_state,full,277874,51.5730,1.2359,0.3068,0.8224,1.1227,1.1391,0.1132,True,278618,55.3155,3.9874,2.5068,1.9712
screener_combo,combo_all,ALL,pit,RT_new,full,23370,48.2157,0.8353,-0.2331,0.8224,0.9200,1.0152,-0.0847,False,23471,51.9364,3.0126,1.2812,1.6994
screener_combo,combo_all,ALL,pit,NOXw,full,8230,51.3244,1.3205,0.2301,0.8224,1.2638,1.3310,0.0567,False,8242,54.5135,3.1735,2.0440,1.8233
screener_combo,combo_all,ALL,pit,NOXd,full,41799,47.5825,0.7711,0.0000,0.8224,0.8391,0.9018,-0.0680,False,41916,52.9464,2.8202,1.5760,1.7072
screener_combo,combo_all,ALL,pit,AS,full,55564,46.6543,0.3882,-0.5410,0.8224,0.6509,0.6962,-0.2627,False,55795,50.6999,2.5306,0.5629,1.5322
screener_combo,combo_all,ALL,pit,vote2,full,6725,46.1115,0.4583,-0.6014,0.8224,0.6590,0.8387,-0.2007,False,6759,50.3329,2.1460,0.3003,1.4663
screener_combo,combo_all,ALL,pit,vote3,full,81,59.2593,3.4046,1.6275,0.8224,1.8188,3.1288,1.5858,True,81,66.6667,5.4141,5.1996,2.8922
screener_combo,combo_all,ALL,pit,RT_AS,full,5768,45.2670,0.2981,-0.7742,0.8224,0.5379,0.6799,-0.2397,False,5800,49.8966,1.9586,-0.0685,1.4182
screener_combo,combo_all,ALL,pit,RT_NOXw,full,371,50.1348,2.0375,0.0188,0.8224,1.5157,1.9069,0.5218,True,373,56.0322,3.9257,3.2038,2.1315
screener_combo,combo_xu030,XU030,pit,RT_state,full,18900,54.8466,0.9438,0.6906,0.8423,0.8729,0.9024,0.0708,True,18938,58.3430,3.1310,2.5996,2.0175
screener_combo,combo_xu030,XU030,pit,RT_new,full,1354,55.3914,1.0641,0.7683,0.8423,1.1126,1.3006,-0.0485,False,1361,58.1925,2.8102,2.6024,1.9159
screener_combo,combo_xu030,XU030,pit,NOXw,full,473,51.7970,0.7232,0.3730,0.8423,0.8204,1.1740,-0.0972,False,474,56.1181,2.5144,1.9302,1.7641
screener_combo,combo_xu030,XU030,pit,NOXd,full,2256,53.8121,0.8143,0.4977,0.8423,0.8229,0.9396,-0.0086,False,2261,59.0889,2.6476,2.5956,1.8706
screener_combo,combo_xu030,XU030,pit,AS,full,3461,51.7769,0.5170,0.2264,0.8423,0.6103,0.7241,-0.0934,False,3473,55.6579,2.2139,2.1577,1.6413
screener_combo,combo_xu030,XU030,pit,vote2,full,416,57.9327,1.2900,0.8720,0.8423,0.9788,1.4219,0.3112,False,417,59.2326,2.3373,2.5935,1.7943
screener_combo,combo_xu030,XU030,pit,vote3,full,3,100.0000,3.6434,2.9611,0.8423,1.5411,3.8858,2.1023,False,3,100.0000,6.3203,6.1657,inf
screener_combo,combo_xu030,XU030,pit,RT_AS,full,365,57.8082,1.2497,0.7984,0.8423,1.0028,1.2901,0.2469,False,366,59.0164,2.3209,2.4736,1.7902
screener_combo,combo_xu030,XU030,pit,RT_NOXw,full,14,71.4286,3.5504,2.3535,0.8423,1.0433,2.4574,2.5071,True,14,64.2857,2.9078,5.0094,2.1595
screener_combo,combo_xu100,XU100,pit,RT_state,full,56310,53.4985,0.9952,0.5682,0.6357,0.8882,0.9008,0.1070,True,56457,57.7501,3.5172,2.7624,2.0226
screener_combo,combo_xu100,XU100,pit,RT_new,full,4270,51.9672,0.6840,0.3403,0.6357,0.7835,0.9249,-0.0994,False,4287,54.5136,2.3019,2.1557,1.6257
screener_combo,combo_xu100,XU100,pit,NOXw,full,1535,52.8339,1.1827,0.4175,0.6357,1.0992,1.2773,0.0835,False,1537,55.6929,2.4882,2.1581,1.6675
screener_combo,combo_xu100,XU100,pit,NOXd,full,7646,50.7063,0.6745,0.1660,0.6357,0.6417,0.7337,0.0328,False,7664,55.2975,2.3363,2.1600,1.6364
screener_combo,combo_xu100,XU100,pit,AS,full,9948,48.1906,0.1763,-0.2756,0.6357,0.4195,0.4948,-0.2432,False,9991,52.6674,2.0001,1.5362,1.4916
screener_combo,combo_xu100,XU100,pit,vote2,full,1196,49.9164,0.4521,0.0000,0.6357,0.5512,0.7292,-0.0991,False,1202,52.7454,1.6285,1.6676,1.4177
screener_combo,combo_xu100,XU100,pit,vote3,full,8,87.5000,5.3305,5.2613,0.6357,0.9824,3.0535,4.3481,True,8,100.0000,10.5701,7.4276,inf
screener_combo,combo_xu100,XU100,pit,RT_AS,full,1027,50.3408,0.4760,0.0692,0.6357,0.4609,0.7637,0.0151,False,1032,53.3915,1.7892,1.8272,1.4746
screener_combo,combo_xu100,XU100,pit,RT_NOXw,full,51,47.0588,0.0004,-0.4132,0.6357,-0.0451,1.0781,0.0455,False,52,50.0000,0.5985,-1.2440,1.1378
hw_obos,hwobos_all,ALL,pit,AL_OS_1d,full,947,46.7793,-0.0040,-0.3155,0.5047,0.5964,0.9629,-0.6004,False,973,52.7235,0.4397,1.3815,1.0879
hw_obos,hwobos_all,ALL,pit,AL_OS_1w,full,102,44.1176,0.4112,-1.0222,0.5047,0.0925,1.4969,0.3187,False,102,70.5882,5.8205,4.5995,2.6346
hw_obos,hwobos_xu030,XU030,pit,AL_OS_1d,full,37,54.0541,1.3702,0.5682,0.4304,2.2664,3.2040,-0.8962,False,38,63.1579,1.7766,3.0579,1.5439
hw_obos,hwobos_xu030,XU030,pit,AL_OS_1w,full,4,75.0000,9.1936,9.2107,0.4304,1.4891,4.7227,7.7045,True,4,100.0000,19.7469,18.7985,inf
hw_obos,hwobos_xu100,XU100,pit,AL_OS_1d,full,218,47.7064,-0.5087,-0.1797,0.2218,0.9396,1.5990,-1.4483,False,224,50.8929,-0.7302,0.3510,0.8588
hw_obos,hwobos_xu100,XU100,pit,AL_OS_1w,full,18,55.5556,2.3258,1.7155,0.2218,0.3997,2.4877,1.9260,False,18,72.2222,8.1892,5.4465,4.8176
nyxexpansion,nyxexp_all,ALL,pit,events,full,17436,48.4572,0.6915,-0.3065,0.8224,1.3885,1.4671,-0.6971,False,17464,48.0474,3.1534,-1.1143,1.7178
nyxexpansion,nyxexp_all,ALL,pit,scored,full,12374,49.0383,0.9547,-0.1712,0.8224,1.6328,1.7792,-0.6781,False,12392,48.9187,3.5282,-0.1000,1.8235
nyxexpansion,nyxexp_all,ALL,pit,top4,full,2787,45.3175,0.5956,-1.4504,0.8224,1.1771,1.4337,-0.5814,False,2796,40.6652,2.6166,-5.9150,1.5245
nyxexpansion,nyxexp_xu030,XU030,pit,events,full,878,59.1116,1.6022,1.3148,0.8423,1.5188,1.8051,0.0834,False,878,58.3144,5.0789,2.6675,2.7019
nyxexpansion,nyxexp_xu030,XU030,pit,scored,full,575,57.7391,1.7325,1.0560,0.8423,1.6456,2.0360,0.0869,False,575,56.1739,5.6181,2.4798,2.7697
nyxexpansion,nyxexp_xu030,XU030,pit,top4,full,516,56.3953,1.5078,0.8611,0.8423,1.6074,1.8768,-0.0997,False,516,55.0388,4.8666,2.1739,2.4933
nyxexpansion,nyxexp_xu100,XU100,pit,events,full,2983,52.9668,1.0528,0.5682,0.6357,1.2794,1.4192,-0.2265,False,2985,53.6013,3.5789,1.7779,2.0039
nyxexpansion,nyxexp_xu100,XU100,pit,scored,full,2068,52.6112,1.2351,0.5778,0.6357,1.3667,1.5040,-0.1316,False,2069,53.5524,3.8525,1.8679,2.0643
nyxexpansion,nyxexp_xu100,XU100,pit,top4,full,1506,50.1992,1.0058,0.0751,0.6357,1.1100,1.3505,-0.1042,False,1507,51.7585,3.5414,1.1290,1.9310
sbt_1700,sbt_all,ALL,pit,sbt_candidates,full,1222,48.3633,0.6927,-0.2357,0.8224,1.3203,1.4328,-0.6277,False,1222,49.8363,2.5776,-0.1000,1.5760
sbt_1700,sbt_xu030,XU030,pit,sbt_candidates,full,53,56.6038,0.9268,1.0285,0.8423,1.0117,1.9376,-0.0849,False,53,64.1509,2.5563,3.5668,1.9952
sbt_1700,sbt_xu100,XU100,pit,sbt_candidates,full,205,53.1707,0.5696,0.5567,0.6357,1.1122,1.6815,-0.5426,False,205,59.5122,2.7399,3.0185,1.8495
tavan_scanner,tavan_all,ALL,pit,tavan,full,20059,45.2764,1.4247,-1.4456,0.8224,1.1134,1.1926,0.3113,True,20161,43.8718,3.9195,-6.1280,1.6647
tavan_scanner,tavan_all,ALL,pit,tavan_v1,full,3449,52.8559,5.5416,1.2658,0.8224,1.2158,1.3954,4.3258,True,3472,48.2143,10.5170,-0.1942,2.9774
tavan_scanner,tavan_xu030,XU030,pit,tavan,full,345,48.6957,0.2068,-0.3713,0.8423,0.8543,1.4294,-0.6475,False,346,50.2890,4.6483,0.8558,1.9315
tavan_scanner,tavan_xu030,XU030,pit,tavan_v1,full,30,33.3333,-5.2690,-6.7267,0.8423,-0.2039,1.8138,-5.0651,False,31,41.9355,-1.0498,-8.1258,0.8604
tavan_scanner,tavan_xu100,XU100,pit,tavan,full,1927,46.3415,0.3238,-0.8944,0.6357,1.1139,1.2989,-0.7901,False,1943,45.9599,2.8307,-5.5753,1.5110
tavan_scanner,tavan_xu100,XU100,pit,tavan_v1,full,233,56.2232,3.9266,1.6227,0.6357,1.6187,2.2553,2.3079,True,236,52.5424,8.4510,2.6431,2.6362
trident_de_v1,trident_all,ALL,pit,mb_1d_birth,full,22460,48.9181,0.7449,-0.1314,0.6277,0.9202,1.0247,-0.1753,False,22532,52.2013,2.7885,1.3515,1.6490
trident_de_v1,trident_all,ALL,pit,trident_geo,full,633,46.4455,0.3426,-0.6311,0.6277,1.3595,1.7972,-1.0169,False,633,46.2875,2.1723,-6.3524,1.4026
trident_de_v1,trident_all,ALL,pit,trident_tier1,full,492,50.2033,1.5452,0.2191,0.6277,1.6068,2.1549,-0.0616,False,492,49.1870,3.5069,-0.9893,1.7126
trident_de_v1,trident_all,ALL,pit,D_PCT_30PLUS,full,2237,51.5869,1.7786,0.4386,0.6277,1.4489,1.7166,0.3298,True,2248,51.8238,3.9515,1.4727,1.7277
trident_de_v1,trident_all,ALL,pit,SIL_DEEP,full,7549,46.8936,0.7858,-0.6799,0.6277,1.0812,1.2126,-0.2953,False,7579,48.0142,2.5407,-2.1014,1.4726
trident_de_v1,trident_all,ALL,pit,WEEKLY_BIRTH_ACTIVE,full,1809,48.0929,0.4187,-0.3378,0.6277,0.8891,1.1629,-0.4704,False,1817,49.6423,2.2775,-0.1000,1.4956
trident_de_v1,trident_all,ALL,pit,G1,full,2539,49.9803,1.1114,0.0000,0.6277,1.3251,1.5605,-0.2137,False,2547,52.6502,3.3780,1.9240,1.7033
trident_de_v1,trident_all,ALL,pit,G2,full,7427,47.0176,0.7527,-0.6535,0.6277,1.0359,1.1250,-0.2832,False,7459,48.0359,2.5125,-2.1014,1.4683
trident_de_v1,trident_all,ALL,pit,G3,full,7589,46.9364,0.5571,-0.5255,0.6277,0.9527,1.0890,-0.3956,False,7611,48.2065,2.4150,-1.3657,1.5238
trident_de_v1,trident_xu030,XU030,pit,mb_1d_birth,full,1367,52.9627,0.3851,0.3385,0.4439,0.5755,0.7186,-0.1904,False,1368,55.2632,1.2576,1.8081,1.3950
trident_de_v1,trident_xu030,XU030,pit,trident_geo,full,21,47.6190,-0.3727,-0.0739,0.4439,1.6055,3.9199,-1.9782,False,21,52.3810,1.8249,2.6762,1.5008
trident_de_v1,trident_xu030,XU030,pit,trident_tier1,full,18,44.4444,-1.5004,-0.2869,0.4439,0.6029,2.5349,-2.1033,False,18,44.4444,-0.7793,-3.6762,0.8167
trident_de_v1,trident_xu030,XU030,pit,D_PCT_30PLUS,full,50,58.0000,1.0736,1.8564,0.4439,2.1102,2.8356,-1.0365,False,50,62.0000,1.4779,3.1936,1.3804
trident_de_v1,trident_xu030,XU030,pit,SIL_DEEP,full,209,51.1962,0.1040,0.2562,0.4439,0.9149,1.3909,-0.8109,False,209,53.1100,1.9889,1.3511,1.5339
trident_de_v1,trident_xu030,XU030,pit,WEEKLY_BIRTH_ACTIVE,full,109,55.9633,-0.0477,0.8949,0.4439,-0.4748,0.4078,0.4270,False,109,56.8807,1.6539,1.7010,1.6241
trident_de_v1,trident_xu030,XU030,pit,G1,full,101,55.4455,0.4664,0.5998,0.4439,0.9436,1.5654,-0.4772,False,101,64.3564,3.2520,2.7775,2.2801
trident_de_v1,trident_xu030,XU030,pit,G2,full,199,54.7739,0.6089,0.8057,0.4439,1.1235,1.6006,-0.5146,False,199,57.7889,2.8562,2.8710,1.8670
trident_de_v1,trident_xu030,XU030,pit,G3,full,425,52.9412,0.5249,0.3922,0.4439,0.6065,0.8490,-0.0816,False,425,55.7647,1.1527,1.8493,1.3671
trident_de_v1,trident_xu100,XU100,pit,mb_1d_birth,full,4052,50.2962,0.5181,0.0568,0.2937,0.5921,0.7002,-0.0740,False,4063,53.5565,1.9210,1.5893,1.5186
trident_de_v1,trident_xu100,XU100,pit,trident_geo,full,85,51.7647,0.2748,0.4082,0.2937,1.1962,3.1270,-0.9214,False,85,47.0588,0.7320,-5.6369,1.1519
trident_de_v1,trident_xu100,XU100,pit,trident_tier1,full,72,55.5556,1.6659,1.5567,0.2937,1.3105,2.4025,0.3555,False,72,50.0000,1.3039,0.6040,1.2908
trident_de_v1,trident_xu100,XU100,pit,D_PCT_30PLUS,full,263,53.9924,2.2760,0.9714,0.2937,1.4390,2.0349,0.8370,True,265,57.7358,4.7224,3.9563,2.0709
trident_de_v1,trident_xu100,XU100,pit,SIL_DEEP,full,885,48.8136,0.3902,-0.3376,0.2937,0.9034,1.1876,-0.5133,False,887,50.9583,2.3020,0.6519,1.5075
trident_de_v1,trident_xu100,XU100,pit,WEEKLY_BIRTH_ACTIVE,full,310,48.7097,-0.6208,-0.3207,0.2937,0.2000,0.6185,-0.8208,False,310,52.5806,2.4298,1.1334,1.6872
trident_de_v1,trident_xu100,XU100,pit,G1,full,380,52.8947,0.9073,0.6092,0.2937,1.2318,1.8085,-0.3244,False,381,58.2677,3.1458,2.7775,1.8657
trident_de_v1,trident_xu100,XU100,pit,G2,full,868,50.2304,0.6819,0.0734,0.2937,0.9635,1.4503,-0.2816,False,871,52.3536,2.5831,1.5752,1.5862
trident_de_v1,trident_xu100,XU100,pit,G3,full,1329,49.3604,0.6555,-0.0739,0.2937,0.6850,0.9079,-0.0295,False,1332,52.6276,1.7785,1.3003,1.4785
